"","grade","age","female","race","empathy_1","empathy_2","empathy_3","empathy_4","empathy_5","empathy_6","empathy_7","empathy_8","empathy_9","empathy_10","empathy_11","schid"
"333",11,17,1,"Black",1,2,3,2,2,2,3,2,1,2,1,2
"334",11,16,1,"Black",2,3,2,3,3,2,3,3,2,3,1,2
"335",11,16,0,"Black",3,2,3,2,2,2,3,2,3,3,1,2
"336",11,18,1,"Black",2,2,3,2,3,2,3,3,3,2,2,2
"337",11,17,1,"Black",3,2,1,2,1,2,2,3,2,3,1,2
"338",11,16,0,"Black",3,3,3,2,2,2,NA,NA,3,1,1,2
"339",11,20,0,"White",1,1,2,2,2,2,2,2,2,2,2,2
"340",10,15,0,"Black",2,1,2,2,1,2,2,1,1,2,2,2
"341",10,17,1,"Black",1,2,2,2,1,1,3,2,1,2,2,2
"342",10,15,0,"White",2,1,2,3,1,1,2,1,2,1,1,2
"343",10,15,1,"Black",2,2,2,2,1,2,3,3,3,2,3,2
"344",10,15,1,"Black",2,3,3,3,2,2,3,3,3,3,2,2
"345",10,15,1,"Black",3,2,2,2,1,2,3,3,3,2,2,2
"346",10,15,0,"Black",2,2,2,2,2,2,2,2,2,2,2,2
"347",10,15,1,"Black",1,2,2,2,2,1,3,2,2,2,2,2
"348",10,15,0,"Black",1,2,2,2,1,2,3,2,2,2,2,2
"349",10,16,1,"Black",3,2,3,3,2,3,1,3,2,3,1,2
"350",10,16,1,"Black",3,1,3,3,2,3,3,3,2,3,3,2
"351",10,16,0,"Black",2,1,2,2,1,1,3,1,1,2,1,2
"352",10,16,1,"Black",1,2,3,2,2,1,3,2,3,2,2,2
"353",10,15,0,"Black",1,2,2,2,1,2,2,2,2,2,2,2
"354",10,16,1,"Black",1,2,1,2,1,1,2,1,1,2,1,2
"355",10,15,1,"Black",1,3,2,3,1,2,3,2,2,3,2,2
"356",10,16,0,"Black",3,2,3,3,2,2,3,2,2,3,3,2
"357",10,16,0,"Other",2,2,3,3,3,3,3,2,2,3,3,2
"358",10,15,1,"Black",2,2,2,2,1,2,3,2,1,1,1,2
"359",10,15,0,"Black",2,1,2,1,1,2,2,1,2,3,3,2
